Date,Title,Link
2020-04-23,  Witnesses in Ecuador Successfully Preach From Home      ,https://jw.org/en/news/jw/region/ecuador/Witnesses-in-Ecuador-Successfully-Preach-From-Home/
2020-04-23,  More Than 100 Tornadoes Rip Through Southeastern United States      ,https://jw.org/en/news/jw/region/united-states/More-Than-100-Tornadoes-Rip-Through-Southeastern-United-States/
2020-04-22,  2020 Memorial Commemoration—Asia      ,https://jw.org/en/news/jw/region/global/2020-Memorial-Commemoration-Asia/
2020-04-22,  First “Kingdom Hall” Rededicated After 85 Years      ,https://jw.org/en/news/jw/region/united-states/First-Kingdom-Hall-Rededicated-After-85-Years/
2020-04-21,  2020 Memorial Commemoration—JW.ORG      ,https://jw.org/en/news/jw/region/global/2020-Memorial-Commemoration-JWORG/
2020-04-21,  Virtual Release of Bible in Romanian      ,https://jw.org/en/news/jw/region/romania/Virtual-Release-of-Bible-in-Romanian/
2020-04-20,  Making Electronic Donations in View of COVID-19 Precautions      ,https://jw.org/en/news/jw/region/global/Making-Electronic-Donations-in-View-of-COVID-19-Precautions/
2020-04-17,  2020 Memorial Commemoration—Canada      ,https://jw.org/en/news/jw/region/canada/2020-Memorial-Commemoration-Canada/
2020-04-17,  Tropical Cyclone Harold Pummels Islands of Vanuatu and Fiji      ,https://jw.org/en/news/jw/region/fiji/Tropical-Cyclone-Harold-Pummels-Islands-of-Vanuatu-and-Fiji/
2020-04-16,  2020 Memorial Commemoration—Africa      ,https://jw.org/en/news/jw/region/global/2020-Memorial-Commemoration-Africa/
2020-04-15,  Young Witnesses Become Resourceful Evangelizers During Pandemic      ,https://jw.org/en/news/jw/region/global/Young-Witnesses-Become-Resourceful-Evangelizers-During-Pandemic/
2020-04-14,  2020 Memorial Commemoration​—Philippines      ,https://jw.org/en/news/jw/region/philippines/2020-Memorial-Commemoration%E2%80%8B-Philippines/
2020-04-10,  2020 Memorial Commemoration—United States Bethel Facilities      ,https://jw.org/en/news/jw/region/global/2020-Memorial-Commemoration-United-States-Bethel-Facilities/
2020-04-10,  Brother Vladimir Alushkin Released From Prison      ,https://jw.org/en/news/jw/region/russia/Brother-Vladimir-Alushkin-Released-From-Prison/
2020-04-09,  Brothers and Sisters in Italy Remain Spiritually Strong Despite Pandemic      ,https://jw.org/en/news/jw/region/italy/Brothers-and-Sisters-in-Italy-Remain-Spiritually-Strong-Despite-Pandemic/
2020-04-09,"  Brother Makhalichev Released From Prison in Belarus, Prosecutor Denies Russia’s Extradition Request      ",https://jw.org/en/news/jw/region/russia/Brother-Makhalichev-Released-From-Prison-in-Belarus-Prosecutor-Denies-Russias-Extradition-Request/
2020-04-06,  Peace In a Time of Panic      ,https://jw.org/en/news/jw/region/canada/Peace-In-a-Time-of-Panic/
2020-04-03,  Historic Commemoration of Christ’s Death      ,https://jw.org/en/news/jw/region/global/Historic-Commemoration-of-Christs-Death/
2020-03-31,  Helping Older Ones to Maintain Their Theocratic Routine During Pandemic      ,https://jw.org/en/news/jw/region/global/Helping-Older-Ones-to-Maintain-Their-Theocratic-Routine-During-Pandemic/
2020-03-31,  Brother Jovidon Bobojonov Facing Prison for Conscientious Objection in Tajikistan      ,https://jw.org/en/news/jw/region/tajikistan/Brother-Jovidon-Bobojonov-Facing-Prison-for-Conscientious-Objection-in-Tajikistan/
2020-03-30,  FSB Officers Ransack Deceased Brother’s Home in Russia      ,https://jw.org/en/news/jw/region/russia/FSB-Officers-Ransack-Deceased-Brothers-Home-in-Russia/
2020-03-27,  Brother Igor Ivashin Faces Seven Years of Imprisonment in Russia      ,https://jw.org/en/news/jw/region/russia/Brother-Igor-Ivashin-Faces-Seven-Years-of-Imprisonment-in-Russia/
2020-03-26,  The Worldwide Brotherhood Uses Innovative Preaching Methods as Pandemic Continues      ,https://jw.org/en/news/jw/region/global/The-Worldwide-Brotherhood-Uses-Innovative-Preaching-Methods-as-Pandemic-Continues/
